url,title,price_raw,price_mnt,location,district,khoroo,date_posted,area_m2,rooms,floor,total_floors,year_built,balcony,garage,window_type,window_count,door_type,floor_material,payment_terms,elevator,construction_status
https://www.unegui.mn/adv/10195117_iaarmag-shinemongol-british-skuul-2yn-dund-bairshil-saitai-5oroo/,Яармагт twin tower хотхонд 4 өрөөг 5 өрөө болгосон 154мкв орон сууц,660 сая ₮,660000000.0,"Хан-Уул, Яармаг",Хан-Уул,Яармаг,Нийтэлсэн: Өчигдөр 18:26,154.0,4,2,16,2016,1 тагттай,Байгаа,Вакум,5,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10038641_sbd-century-apartment-3oroo-khudaldana/,"Сбд, сentury apartment-д 3 өрөө 87.93 мкв",810 сая ₮,810000000.0,"Сүхбаатар, Сүхбаатар, Хороо 4",Сүхбаатар,Хороо 4,Нийтэлсэн: Өчигдөр 18:25,87.93,3,10,16,2025,1 тагттай,Байхгүй,Вакум,4,Бүргэд,Ламинат,Бэлэн төлөлтөөр зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10200151_khotyn-tovd-3-oroo-bair-zarna/,Баруун 4 зам хотын төвд 3 өрөө байр 67м2,315 сая ₮ 338 сая ₮,315000000.0,"Баянгол, Баруун 4 зам",Баянгол,Баруун 4 зам,Нийтэлсэн: Өчигдөр 18:25,67.0,3,9,16,2015,1 тагттай,Байхгүй,Вакум,3,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10195039_seven-star-zaisand-131mkv-4oroo-khudaldana/,Эрдэнийн төгөлд 180мкв 4 өрөө,1.5 Тэрбум ₮,1500000000.0,"Хан-Уул, Хүннү",Хан-Уул,Хүннү,Нийтэлсэн: Өчигдөр 18:25,180.0,4,4,5,2014,1 тагттай,Байхгүй,Вакум,4,Төмөр вакум,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10095690_bzd-surguul-tsetserlegiinkhee-derged-1davkhryn-shine-2oroo-bair-zarna/,Сансарт 97р сургуулийн хажууд байр 2 өрөө 40мкв,130 сая ₮,130000000.0,"Баянзүрх, 15-р хороолол",Баянзүрх,15-р хороолол,Нийтэлсэн: Өчигдөр 18:23,40.0,2,2,6,1990,1 тагттай,Байхгүй,Вакум,3,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10391689_sky-residence-khotkhond-2-oroo-khudaldana/,Sky residence хотхонд 2 өрөө 53.75мкв,170 сая ₮,170000000.0,"Баянзүрх, Улаанхуаран",Баянзүрх,Улаанхуаран,Нийтэлсэн: Өчигдөр 18:22,53.75,2,9,16,2019,1 тагттай,Байгаа,Вакум,2,Төмөр,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10391687_river-villa-khotkhon/,River villa хотхон 98.0мкв 3 өрөө байр,470 сая ₮ Үнэ тохирно,470000000.0,"Баянзүрх, Баянзүрх, Хороо 26",Баянзүрх,Хороо 26,Нийтэлсэн: Өчигдөр 18:21,98.0,3,10,16,2022,Тагтгүй,Байхгүй,Вакум,3,Төмөр,Паркет,Бэлэн төлөлтөөр зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10391686_consul-residence-4-oroo/,Consul residence 4 өрөө 94.0мкв,545.2 сая ₮,545200000.0,"Баянзүрх, Зүүн 4 зам",Баянзүрх,Зүүн 4 зам,Нийтэлсэн: Өчигдөр 18:21,94.0,4,4,16,2025,1 тагттай,Байхгүй,Вакум,5,Төмөр,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10381067_sodon-khoroolold-50-mkv-2-oroo-bair-khudaldana/,Содон хороололд 50 мкв 2 өрөө байр,160 сая ₮ Үнэ тохирно,160000000.0,"Сонгинохайрхан, 21-р хороолол",Сонгинохайрхан,21-р хороолол,Нийтэлсэн: Өчигдөр 18:20,50.0,2,5,12,2015,1 тагттай,Байхгүй,Вакум,3,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10351292_khaldvartyn-etsest-2-oroo-37mkv-bair/,Халдвартын эцэст 2 өрөө 37мкв,153 сая ₮,153000000.0,"Баянзүрх, Баянзүрх, Хороо 14",Баянзүрх,Хороо 14,Нийтэлсэн: Өчигдөр 18:18,37.0,2,2,12,2016,1 тагттай,Байхгүй,Вакум,2,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10371190_khud-king-tower-3-r-eelzhid-137mkv-3-oroo-oron-suuts/,Худ king tower 3-р ээлжинд 3 өрөө 137мкв орон сууц,659 сая ₮,659000000.0,"Хан-Уул, Хан-Уул, Хороо 17",Хан-Уул,Хороо 17,Нийтэлсэн: Өчигдөр 18:18,137.0,3,13,16,2020,1 тагттай,Байхгүй,Вакум,3,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10347751_bzd-26-r-khoroo-elizabeth-khotkhon-89-44mkv-3-oroo-oron-suuts/,Бзд 26-р хороо elizabeth хотхон 3 өрөө 89.44мкв орон сууц,480 сая ₮,480000000.0,"Баянзүрх, Баянзүрх, Хороо 26",Баянзүрх,Хороо 26,Нийтэлсэн: Өчигдөр 18:18,89.44,3,12,16,2020,1 тагттай,Байгаа,Вакум,4,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
