price_mnt,log_price,area_m2,rooms,floor,total_floors,floor_ratio,building_age,year_built,has_balcony,balcony_count,has_garage,has_elevator,is_finished,district,district_grouped,window_type,door_type,floor_material,price_per_m2
1240000000.0,20.938377216563357,151.2,4,1.0,6.0,0.16666666666666666,5,2020,1,2,1,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,8201058.2010582015
160000000.0,18.890684373198102,45.34,2,7.0,13.0,0.5384615384615384,15,2010,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3528892.8098808997
200000000.0,19.11382792451231,29.0,2,4.0,5.0,0.8,45,1980,1,1,0,0,1,Баянзүрх,Баянзүрх,Модон вакум,Төмөр,Паркет,6896551.724137931
255000000.0,19.3567741031227,82.19,3,4.0,16.0,0.25,0,2026,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Төмөр,Паркет,3102567.2222898165
110000000.0,18.51599092375669,26.8,1,11.0,15.0,0.7333333333333333,5,2020,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Төмөр,Паркет,4104477.611940298
1100000000.0,20.818576016750736,198.0,5,4.0,4.0,1.0,3,2022,1,1,1,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,5555555.555555556
402000000.0,19.811962646583297,55.04,2,3.0,18.0,0.16666666666666666,6,2019,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,7303779.069767442
278590000.0,19.445251724911298,58.04,2,12.0,12.0,1.0,0,2026,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,4799965.541006203
140000000.0,18.75715298057358,36.0,2,4.0,6.0,0.6666666666666666,11,2014,1,1,0,0,1,Баянгол,Баянгол,Вакум,Бүргэд,Паркет,3888888.888888889
160000000.0,18.890684373198102,40.0,1,16.0,16.0,1.0,0,2026,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Төмөр вакум,Паркет,4000000.0
1340000000.0,21.015935450909232,205.41,5,11.0,12.0,0.9166666666666666,9,2016,1,2,1,0,1,Сүхбаатар,Сүхбаатар,Вакум,Бүргэд,Паркет,6523538.289275109
198000000.0,19.103777588658808,55.0,2,4.0,5.0,0.8,31,1994,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Төмөр,Паркет,3600000.0
125000000.0,18.643824295266576,35.71,1,4.0,9.0,0.4444444444444444,2,2023,1,0,0,0,1,Баянгол,Баянгол,Вакум,Бүргэд,Паркет,3500420.0504060485
135000000.0,18.720785336402702,38.2,1,5.0,5.0,1.0,16,2009,1,1,0,0,1,Баянгол,Баянгол,Вакум,Бүргэд,Паркет,3534031.413612565
660000000.0,20.307750392984744,85.0,3,10.0,15.0,0.6666666666666666,5,2020,1,1,0,0,1,Сүхбаатар,Сүхбаатар,Вакум,Төмөр,Паркет,7764705.882352941
1050000000.0,20.772056001115843,117.67,4,5.0,25.0,0.2,3,2022,1,2,0,0,1,Хан-Уул,Хан-Уул,Вакум,Төмөр,Паркет,8923259.96430696
129000000.0,18.675322962325946,38.1,1,5.0,10.0,0.5,5,2020,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,3385826.771653543
991180000.0,20.714406710513085,116.61,3,6.0,16.0,0.375,0,2025,1,0,0,0,1,Сүхбаатар,Сүхбаатар,Вакум,Бүргэд,Паркет,8499957.122030701
1070000000.0,20.790924485420227,125.5,3,2.0,23.0,0.08695652173913043,2,2023,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,8525896.414342629
340000000.0,19.644456175574483,105.5,5,2.0,15.0,0.13333333333333333,8,2017,1,0,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,3222748.815165877
910000000.0,20.62895515747517,187.4,5,6.0,8.0,0.75,2,2023,1,2,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,4855923.159018143
485000000.0,19.999659448901756,114.86,4,5.0,8.0,0.625,13,2012,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,4222531.777816473
340000000.0,19.644456175574483,115.0,3,3.0,6.0,0.5,20,2005,1,2,0,0,1,Сүхбаатар,Сүхбаатар,Вакум,Бүргэд,Паркет,2956521.7391304346
590000000.0,20.19563309486404,160.9,5,5.0,9.0,0.5555555555555556,11,2014,1,0,1,0,1,Хан-Уул,Хан-Уул,Төмөр вакум,Бүргэд,Паркет,3666873.8346799253
1100000000.0,20.818576016750736,312.0,5,3.0,6.0,0.5,12,2013,1,3,1,0,1,Хан-Уул,Хан-Уул,Вакум,Төмөр,Паркет,3525641.0256410255
625000000.0,20.253262207700676,80.0,3,11.0,25.0,0.44,2,2023,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,7812500.0
258820000.0,19.371643397357797,68.11,3,12.0,16.0,0.75,0,2026,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3800029.364263691
141690000.0,18.76915213054041,36.33,1,2.0,9.0,0.2222222222222222,0,2025,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,3900082.5763831544
479700000.0,19.988671466472294,79.95,3,2.0,16.0,0.125,0,2026,1,2,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,6000000.0
1800000000.0,21.31105250184853,189.0,4,16.0,16.0,1.0,1,2024,1,3,0,0,1,Баянзүрх,Баянзүрх,Төмөр вакум,Төмөр вакум,Паркет,9523809.523809524
438000000.0,19.89772946834072,88.9,3,10.0,10.0,1.0,14,2011,1,2,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,4926884.139482564
339000000.0,19.641510665344725,67.0,3,3.0,15.0,0.2,1,2024,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,5059701.492537313
400000000.0,19.806975105072254,95.1,3,3.0,16.0,0.1875,1,2024,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,4206098.843322818
463300000.0,19.953885350386876,113.0,4,5.0,16.0,0.3125,0,2026,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Вакум,Паркет,4100000.0
530000000.0,20.08838756451044,93.0,3,9.0,16.0,0.5625,0,2025,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Төмөр,Паркет,5698924.731182796
408000000.0,19.826777732368434,90.0,3,2.0,16.0,0.125,10,2015,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,4533333.333333333
210000000.0,19.162618088681743,65.3,3,4.0,16.0,0.25,2,2023,1,2,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,3215926.493108729
135000000.0,18.720785336402702,36.0,1,1.0,10.0,0.1,15,2010,1,1,0,0,1,Баянгол,Баянгол,Вакум,Бүргэд,Паркет,3750000.0
2000000000.0,21.416413017506358,213.0,5,8.0,23.0,0.34782608695652173,3,2022,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Төмөр,Паркет,9389671.361502348
2220000000.0,21.5207730328306,174.64,5,1.0,7.0,0.14285714285714285,1,2024,1,0,1,0,1,Хан-Уул,Хан-Уул,Вакум,Төмөр,Паркет,12711864.406779662
404540000.0,19.818261177089223,55.04,2,3.0,18.0,0.16666666666666666,6,2019,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,7349927.325581395
